"filename", "language", "Markdown", "XML", "Properties", "JavaScript", "HTML", "JSON", "JavaScript JSX", "PostCSS", "comment", "blank", "total"
"c:\Users\rohin\Desktop\mailer\frontend\src\Components\HODDashboard.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 94, 0, 0, 14, 108
"c:\Users\rohin\Desktop\mailer\frontend\src\Components\Header.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 120, 0, 16, 136
"c:\Users\rohin\Desktop\mailer\frontend\src\Components\Header.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 89, 0, 0, 9, 98
"c:\Users\rohin\Desktop\mailer\frontend\src\Components\Login.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 163, 7, 26, 196
"c:\Users\rohin\Desktop\mailer\frontend\src\Components\Login.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 129, 0, 1, 16, 146
"c:\Users\rohin\Desktop\mailer\frontend\src\Components\Main.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 69, 0, 10, 79
"c:\Users\rohin\Desktop\mailer\frontend\src\Components\Main.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 131, 0, 3, 30, 164
"c:\Users\rohin\Desktop\mailer\frontend\src\Components\MessengerPanel.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 87, 0, 0, 11, 98
"c:\Users\rohin\Desktop\mailer\frontend\src\Components\Notification.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 174, 3, 31, 208
"c:\Users\rohin\Desktop\mailer\frontend\src\Components\Notification.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 129, 0, 2, 22, 153
"c:\Users\rohin\Desktop\mailer\frontend\src\Components\ProtectedRoute.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 15, 0, 0, 6, 21
"c:\Users\rohin\Desktop\mailer\frontend\src\Components\SendIDPass.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 57, 0, 0, 9, 66
"c:\Users\rohin\Desktop\mailer\frontend\src\Components\Support.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 60, 0, 6, 66
"c:\Users\rohin\Desktop\mailer\frontend\src\Components\Support.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 83, 0, 0, 13, 96
"c:\Users\rohin\Desktop\mailer\frontend\src\Components\Support2.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 83, 0, 0, 13, 96
"c:\Users\rohin\Desktop\mailer\frontend\src\assets\react.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\rohin\Desktop\mailer\frontend\src\context\SocketContext.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 28, 0, 0, 9, 37
"c:\Users\rohin\Desktop\mailer\frontend\src\main.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 8, 0, 0, 2, 10
"c:\Users\rohin\Desktop\mailer\frontend\src\utils\getUserInfo.js", "JavaScript", 0, 0, 0, 7, 0, 0, 0, 0, 0, 1, 8
"c:\Users\rohin\Desktop\mailer\frontend\vite.config.js", "JavaScript", 0, 0, 0, 5, 0, 0, 0, 0, 1, 2, 8
"Total", "-", 7, 2, 6, 972, 13, 5087, 1956, 913, 31, 608, 9595
